"","titulo","link","desc","data","categoria_principal"
"51","PetrÛleo devolve alta e fecha em leve baixa, com tens„o EUA-China","www.valor.com.br/financas/5854003/petroleo-devolve-alta-e-fecha-em-leve-baixa-com-tensao-eua-china","Os contratos do Brent para novembro fecharam com perdas de 0,06%, a US$ 78,05 por barril; os do WTI para o mesmo mÍs cederam 0,14%","17/09/2018 ‡s 17h07","alta, baixa, devolv, euachina, fecha, leve, petroleo, tensao, barril, brent, cederam, contrato, fecharam, mes, novembro, perda, wti, mercado"
"52","Suzano anuncia emiss„o de US$ 1 bilh„o em bÙnus de dez anos","www.valor.com.br/financas/5853877/suzano-anuncia-emissao-de-us-1-bilhao-em-bonus-de-dez-anos","Companhia tem realizado uma sÈrie de operaÁıes no mercado para rolar o emprÈstimo-ponte","17/09/2018 ‡s 16h40","ano, anuncia, bilhao, bonus, dez, emissao, suzano, companhia, emprestimopont, mercado, operaco, realizado, rolar, seri, captaco"
"53","Volks anuncia joint venture de divis„o da caminhıes com Hino Motors","www.valor.com.br/empresas/5853681/volks-anuncia-joint-venture-de-divisao-da-caminhoes-com-hino-motors","O objetivo È que o acordo seja concluÌdo no segundo semestre de 2019; operaÁ„o ainda ser· avaliada por Ûrg„os antitruste","17/09/2018 ‡s 15h50","anuncia, caminho, divisao, hino, joint, motor, ventur, volk, acordo, ainda, antitrust, avaliada, concluido, objetivo, operacao, orgao, segundo, semestr, sera, automovei"
"54","Falhas do Credit contra corrupÁ„o envolvem Petrobras, Fifa e PDVSA","www.valor.com.br/financas/5853499/falhas-do-credit-contra-corrupcao-envolvem-petrobras-fifa-e-pdvsa","Regulador banc·rio da SuÌÁa determinou que o banco melhore seus procedimentos contra lavagem de dinheiro, mas n„o impÙs multas ‡ instituiÁ„o","17/09/2018 ‡s 15h16","contra"
"55","Sal·rios em Wall Street atingem o nÌvel mais alto desde 2008","www.valor.com.br/financas/5853369/salarios-em-wall-street-atingem-o-nivel-mais-alto-desde-2008","H· dez anos, o banco Lehman Brothers quebrou e arrastou a economia mundial para uma crise financeira","17/09/2018 ‡s 14h50","alto, atingem, desd, nivel, salario, street, wall, ano, arrastou, banco, brother, crise, dez, economia, financeira, lehman, mundial, quebrou, financa"
"56","Argentina prevÍ queda de 0,5% do PIB para 2019 em projeto de orÁamento","www.valor.com.br/internacional/5853157/argentina-preve-queda-de-05-do-pib-para-2019-em-projeto-de-orcamento","O projeto de orÁamento tambÈm trabalha com a expectativa de uma inflaÁ„o acumulada de 23% para o fim de 2019 e um dÛlar cotado a 41,10 pesos","17/09/2018 ‡s 14h01","orcamento, projeto"
"57","Ibovespa tem ligeira alta, enquanto dÛlar segue inst·vel","www.valor.com.br/financas/5853119/ibovespa-tem-ligeira-alta-enquanto-dolar-segue-instavel","Pesquisas eleitorais d„o o tom do mercado financeiro nesta segunda-feira","17/09/2018 ‡s 13h52","mercado"
"58","Bolsas da Europa fecham sem direÁ„o ˙nica, com varejistas","www.valor.com.br/financas/5853011/bolsas-da-europa-fecham-sem-direcao-unica-com-varejistas","O Ìndice pan-europeu Stoxx 600 conseguiu encerrar a sess„o com ganho de 0,12%, impulsionado pelo avanÁo da varejista de moda H&M","17/09/2018 ‡s 13h34","varejista"
"59","Richard Clarida assume vice-presidÍncia do BC americano","www.valor.com.br/financas/5852625/richard-clarida-assume-vice-presidencia-do-bc-americano","PosiÁ„o de vice-presidente do Fed estava vaga desde outubro de 2017, quando Stanley Fischer deixou o cargo","17/09/2018 ‡s 12h19","americano, assum, clarida, richard, vicepresidencia, cargo, deixou, desd, fed, fischer, outubro, posicao, stanley, vaga, vicepresident, monetaria, politica"
"60","Ibovespa opera em alta, mas pesquisas eleitorais trazem cautela","www.valor.com.br/financas/5852069/ibovespa-opera-em-alta-mas-pesquisas-eleitorais-trazem-cautela","Com tom de cautela, volatilidade deve permanecer alta","17/09/2018 ‡s 11h03","alta, cautela"
"61","Richard Clarida assume vice-presidÍncia do BC americano","www.valor.com.br/financas/5852625/richard-clarida-assume-vice-presidencia-do-bc-americano","PosiÁ„o de vice-presidente do Fed estava vaga desde outubro de 2017, quando Stanley Fischer deixou o cargo","17/09/2018 ‡s 12h19","americano, assum, clarida, richard, vicepresidencia, cargo, deixou, desd, fed, fischer, outubro, posicao, stanley, vaga, vicepresident, monetaria, politica"
"62","Ibovespa opera em alta, mas pesquisas eleitorais trazem cautela","www.valor.com.br/financas/5852069/ibovespa-opera-em-alta-mas-pesquisas-eleitorais-trazem-cautela","Com tom de cautela, volatilidade deve permanecer alta","17/09/2018 ‡s 11h03","alta, cautela"
"63","Depois de abrir em alta e bater R$ 4,20, dÛlar perde forÁa","www.valor.com.br/financas/5851565/depois-de-abrir-em-alta-e-bater-r-420-dolar-perde-forca","Investidores acompanham corrida eleitoral e ambiente externo, especialmente disputa comercial entre EUA e China","17/09/2018 ‡s 10h03","abrir, alta, bater, dolar, forca, perd, acompanham, ambient, china, comerci, corrida, disputa, eleitor, especialment, eua, externo, investidor, mercado"
"64","Focus: Economistas Top 5 preveem dÛlar a R$ 3,95 no fim de 2018","www.valor.com.br/brasil/5851257/focus-economistas-top-5-preveem-dolar-r-395-no-fim-de-2018","Mesmo grupo espera uma cotaÁ„o maior da moeda americana no ano seguinte, de R$ 3,57","17/09/2018 ‡s 09h37","dolar, economista, fim, focus, preveem, top, americana, ano, cotacao, espera, grupo, maior, moeda, seguint, macroeconomia"
"65","Mercado vÍ inflaÁ„o mais alta e crescimento econÙmico menor em 2018","www.valor.com.br/brasil/5851023/mercado-ve-inflacao-mais-alta-e-crescimento-economico-menor-em-2018","No caso da taxa b·sica de juro, analistas consultados pelo BC reforÁaram aposta em 6,50%","17/09/2018 ‡s 09h12","alta, crescimento, economico, inflacao, menor, mercado, analista, aposta, basica, caso, consultado, juro, reforcaram, taxa, macroeconomia"
